,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio
0,QLD1,2021,3.2397158284183507,16469683.399753917,60,0.0,5078.956378826289,38.185344000000356,37.4965800177392,40.20845958132345,42.381714285712505,0.0,-74168000.0000003,0.0,60224.416000000245,0.0,0.0,14603,50299.11663385714,14603.0,3290520.452841097,1277499.9999999935,0.0,0,0.0,0,24,-1
1,QLD1,2021,3.168036267647166,20196248.73778792,60,0.09339950728291271,5078.956378826265,34.040259598811275,33.59704014311817,35.94544316726062,37.90183586486178,912532.5803335294,-67240745.34384151,-8.480577351477336e-11,53686.952638865776,1651.9,1208.2,14603,48408.1029324984,14603.0,2650953.3140337653,1277499.9999999963,0.0,0,0.1,0,24,-1
2,QLD1,2021,3.0975456308659624,23940263.92114127,60,0.1861889724587689,5078.956378826313,29.88978185091025,29.679629729139705,31.678087378890904,33.42195744400908,1870310.763663094,-60358736.29067812,-1.6961154702954673e-10,47140.983104367544,3303.8,2416.4,14603,47505.1891925973,14603.0,2011615.3465606682,1277499.9999999958,0.0,0,0.2,0,24,-1
3,QLD1,2021,3.028293895528298,27679006.975730497,60,0.2785862873808633,5078.956378826285,25.73583712547268,25.76490543722154,27.418137645359824,28.94207902315602,2857173.947013864,-53505812.23753648,-2.6835250688250767e-10,40589.54558986577,4955.700000000001,3624.6000000000004,14603,46303.740415090375,14603.0,1375250.1047963034,1277499.999999997,0.0,0,0.30000000000000004,0,24,-1
4,QLD1,2021,2.960306745418566,31413989.93657143,60,0.370666943010951,5078.9563788262785,21.579092833691135,21.868942740271542,23.141650150205844,24.462200602303305,3867523.116734105,-46676374.17076408,-3.3922309405909346e-10,34033.692709926334,6607.6,4832.8,14603,44889.37579679656,14603.0,741730.2376918629,1277499.9999999958,0.0,0,0.4,0,24,-1
5,QLD1,2021,2.89380059158213,35153702.51201388,60,0.4619158762221691,5078.956378826304,17.4149953324823,18.028923657110006,18.856824370174603,19.982322181450265,4939559.47481593,-39908623.29235389,-4.558787791708596e-10,27466.24263857543,8259.5,6041.0,14603,43742.82627485165,14603.0,110478.13644802166,1277499.999999998,0.0,0,0.5,0,24,-1
6,QLD1,2021,2.8291086836175525,38878508.96791129,60,0.5515677653296637,5078.9563788263085,13.236778457436657,14.180911060251756,14.581583156364056,15.502443760597384,6130045.399984776,-33259321.981029883,-5.367050137650153e-10,20876.52404861149,9911.400000000001,7249.200000000001,14603,41752.21562351541,14603.0,-515583.16848313954,1277499.9999999984,0.0,0,0.6000000000000001,0,24,-1
7,QLD1,2021,2.7704236181187967,42606615.073149346,60,0.6384657778842333,5078.9563788262485,9.10190338372555,10.41662019399424,10.345887992807247,11.083568703079738,7418024.955492118,-26814270.185881518,-106755.88583663158,14355.162435443675,11563.300000000001,8457.400000000001,14603,39948.44808320173,16548.0,-1130595.1988530252,1277499.9999999988,0.0,0,0.7000000000000001,0,24,-1
8,QLD1,2021,2.7230838792794527,46360300.135595895,60,0.7178961122569736,5078.956378826315,5.065420536825373,6.749228863796554,6.271809343873043,6.812868806156185,9000560.735352153,-20923081.146125477,-472818.302712905,7988.981155301737,13215.2,9665.6,14603,39593.09261584882,18911.0,-1726993.1107975943,1277499.9999999986,0.0,0,0.8,0,24,-1
9,QLD1,2021,2.6876365724033193,50177075.32327247,60,0.7846898252145613,5078.9563788262985,1.0681044862069822,3.222014422041575,2.3378715266958,2.678152975486139,11282357.33638614,-15969125.043486882,-1076852.8355328667,1684.5721989252083,14867.1,10873.800000000001,14603,42810.22442086419,21275.0,-2308107.72264881,1277499.999999999,0.0,0,0.9,0,24,-1
