,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,Maximum_power_integration
0,QLD1,2021,4.206042687,54582215.41,60,1,5079.237067,0,0,0,0,0,0,-4225989.293,0,16518.31366,12081.1717,14602.19301,79501.56356,0,0,1277500,5041.109607,1,0,1,24,-1,0
1,QLD1,2021,4.206042687,54582215.41,60,1,5079.237067,0,0,0,0,0,0,-4225989.293,0,16518.31366,12081.1717,14602.19301,79501.56356,0,0,1277500,5041.109607,24,0,1,24,-1,0
2,QLD1,2021,4.206042687,54582215.41,60,1,5079.237067,0,0,0,0,0,0,-4225989.293,0,16518.31366,12081.1717,14602.19301,79501.56356,0,0,1277500,5041.109607,720,0,1,24,-1,0
3,QLD1,2021,4.206042687,54582215.41,60,1,5079.237067,0,0,0,0,0,0,-4225989.293,0,16518.31366,12081.1717,14602.19301,79501.56356,0,0,1277500,5041.109607,8759,0,1,24,-1,0
4,QLD1,2021,4.00078203,55418534.09,60,1,4911.30848,-0.94681501,-0.590091596,-0.81446131,-0.853302417,1493279.229,0,-3193165.52,-1493.279229,17083.11164,11336.62577,15101.47455,84237.29935,1510.147455,-517616.8131,1277500,5154.187033,1,0,1,24,-1,0.1
5,QLD1,2021,3.949459223,54361561.75,60,0.969580816,5011.738797,-0.51622159,-0.11816026,-0.25870109,-0.222863916,2646141.882,-2256130.029,-2809351.459,-814.1642986,16740.78288,11157.98981,14798.85585,82496.37841,1479.885585,-462353.2493,1277500,5348.215012,24,0,1,24,-1,0.1
6,QLD1,2021,3.915465186,53483261.62,60,0.951242441,5121.449428,-0.440792701,0.039119169,-0.061918079,-0.00876898,3631596.346,-3616250.631,-2594099.026,-695.200834,17320.96808,9838.898828,14481.83782,88252.08973,1448.183782,-398182.4819,1277500,2403.212279,720,0,1,24,-1,0.1
7,QLD1,2021,3.899194579,52950650.71,60,0.945853527,5089.021057,-0.478705813,0.033067147,-0.068136315,-4.31E-14,4015935.621,-4015935.621,-2514762.851,-754.9958968,17998.95275,8607.549368,14574.1193,74858.1339,1457.41193,-367755.0431,1277500,2787.668133,8759,0,1,24,-1,0.1
8,QLD1,2021,3.808855367,56329572.62,60,1,4710.32701,-1.682247113,-1.036744266,-1.451619416,-1.51609925,2653173.687,0,-2321273.685,-2653.173687,17812.01833,10216.05195,15745.82823,93692.24354,3149.165646,-1024090.933,1277500,5510.398813,1,0,1,24,-1,0.2
9,QLD1,2021,3.720547988,54557285.05,60,0.944663872,4858.112854,-0.93683952,-0.234392313,-0.492247055,-0.403407045,4810132.281,-4104169.952,-1785886.628,-1477.54628,17270.16921,9866.139468,15266.83349,90005.14708,3053.366697,-937236.8335,1277500,6015.922594,24,0,1,24,-1,0.2
10,QLD1,2021,3.661043253,53046570.92,60,0.915182955,5062.02987,-0.798219004,0.039388466,-0.157022743,-0.04358051,6366976.455,-6290710.563,-1356909.046,-1258.919478,17896.83877,8221.575738,14651.82978,95617.11973,2930.365956,-826439.5087,1277500,589.3302147,720,0,1,24,-1,0.2
11,QLD1,2021,3.633801692,52080124.34,60,0.905175213,5034.101224,-0.838340414,0.036013287,-0.14036945,1.51E-13,7032964.795,-7032964.795,-1292735.35,-1322.197381,18969.55556,6278.202107,14733.11654,71003.48431,2946.623308,-763210.758,1277500,970.905539,8759,0,1,24,-1,0.2
12,QLD1,2021,3.636575616,57296795.45,60,1,4636.227368,-2.37427643,-1.444767754,-2.052026703,-2.139779993,3744614.987,0,-2094215.14,-3744.614987,18096.70328,10170.47499,15997.48979,98216.02591,4799.246938,-1485831.113,1277500,5390.571184,1,0,1,24,-1,0.3
