,Black coal,Brown coal,Coal seam methane,Hydro,Natural Gas (Pipeline),Solar
0,10.0,0.0,0.0,0.0,0.0,0.0
1,10.0,0.0,0.0,0.0,0.0,0.0
2,12.0,0.0,0.0,0.0,0.0,0.0
3,11.0,0.0,0.0,0.0,1.0,0.0
4,8.0,0.0,0.0,0.0,1.0,0.0
5,10.0,0.0,2.0,0.0,0.0,0.0
6,7.0,0.0,1.0,0.0,4.0,0.0
7,6.0,0.0,3.0,2.0,1.0,0.0
8,9.0,0.0,2.0,0.0,1.0,0.0
9,6.0,0.0,3.0,0.0,0.0,3.0
10,6.0,0.0,0.0,2.0,0.0,4.0
11,7.0,0.0,1.0,0.0,0.0,3.0
12,1.0,1.0,0.0,1.0,0.0,9.0
13,10.0,0.0,0.0,0.0,0.0,0.0
14,5.0,0.0,7.0,0.0,0.0,0.0
15,8.0,0.0,3.0,1.0,0.0,0.0
16,5.0,0.0,5.0,2.0,0.0,0.0
17,5.0,0.0,5.0,2.0,0.0,0.0
18,6.0,0.0,0.0,5.0,1.0,0.0
19,8.0,0.0,2.0,1.0,1.0,0.0
20,3.0,0.0,3.0,6.0,0.0,0.0
21,5.0,0.0,6.0,0.0,1.0,0.0
22,6.0,0.0,5.0,1.0,0.0,0.0
23,11.0,0.0,0.0,0.0,1.0,0.0
