,SETTLEMENTDATE,Others,Battery storage,Fossil,Hydro,Biomass and Waste,Solar,Wind,MEF,EF,Prices,Black coal,Brown coal,Coal seam methane,Hydro,Natural Gas (Pipeline),Solar,
7440,7/11/2021 0:00,0,0.12,63748.38647,1377.35,0,0,4625.21497,0.757402068,0.726544439,0.066281246,9,0,0,2,1,0,0
7441,7/11/2021 1:00,0,0.12,61828.45495,1084.725,0,0,4745.11199,0.674562777,0.725026814,0.064782118,8,0,0,3,1,0,1
7442,7/11/2021 2:00,0,0.12,60341.1517,1007.7075,0,0,4695.07247,0.809398443,0.725711728,0.049731602,11,0,0,1,0,0,2
7443,7/11/2021 3:00,0,0.12,60245.47619,1006.7025,0,0,4503.74683,0.660617199,0.727263323,0.049649048,9,0,0,3,0,0,3
7444,7/11/2021 4:00,0,0.12,60072.83967,1006.69,0,0,4222.97413,0.768975524,0.729424757,0.05427897,10,0,0,1,1,0,4
7445,7/11/2021 5:00,0,0.12,59797.51579,1006.27,0,319.35321,3730.55503,0.637359694,0.728373788,0.040770007,6,0,0,1,5,0,5
7446,7/11/2021 6:00,0,0.12,55117.13814,496.5025,0,4935.57507,3309.47759,0.20776,0.679973557,0,3,0,0,3,0,6,6
7447,7/11/2021 7:00,2151.74997,0.12,53722.26185,278.9925,0,7774.271861,2649.15614,0.226936771,0.659672731,0,2,0,0,0,0,10,7
7448,7/11/2021 8:00,2867.99995,0.12,53335.3497,272.9125,0,10340.74468,2553.04925,0,0.636253543,0,0,0,0,0,0,12,8
7449,7/11/2021 9:00,3553.09995,0.07218,52404.79957,448.12,0,13219.27638,1934.14922,0.513063739,0.609127131,0.013748704,7,0,0,0,0,5,9
7450,7/11/2021 10:00,5631.16987,0.06,53779.57726,498.6775,0,14451.21706,2113.65088,0.876567265,0.600587,0.018413322,12,0,0,0,0,0,10
7451,7/11/2021 11:00,3301.14993,0.03,53438.88237,466.5225,0,14238.84889,1933.51222,0.648592962,0.603779437,0.013736682,9,0,0,0,0,3,11
7452,7/11/2021 12:00,1883.07996,0.04,53895.11777,457.0875,0,14322.76008,1669.25783,0.64484958,0.60680141,0.012242495,9,0,0,0,0,3,12
7453,7/11/2021 13:00,0,0.06,54254.08543,499.08,0,13146.42668,1595.92976,0.856038747,0.618543704,0.020150836,12,0,0,0,0,0,13
7454,7/11/2021 14:00,0,0.04,53015.216,704.74,0,12774.08187,2126.48365,0.649371735,0.612795681,0.009378373,9,0,0,0,0,3,14
7455,7/11/2021 15:00,0,0.03,60235.27603,1305.875,0,10275.84725,2753.02965,0.86345886,0.641125224,0.062535608,11,0,0,0,1,0,15
7456,7/11/2021 16:00,0,0.05,69638.48824,1986.60999,0,7710.7409,3080.2646,0.633787756,0.670523493,0.060622607,5,1,2,3,1,0,16
7457,7/11/2021 17:00,0,0.11,76992.29886,3883.63243,0,3101.92647,3786.25225,0.594012194,0.693724009,0.085998308,4,1,3,2,1,1,17
7458,7/11/2021 18:00,0,0.12,81013.64022,5271.5849,0,49.68101,3504.48117,0.611746532,0.712284295,0.166310042,3,0,3,3,3,0,18
7459,7/11/2021 19:00,0,0.12,80251.24917,4668.63493,0,1.152,2263.79777,0.638387917,0.728744499,0.190272152,1,0,4,2,5,0,19
7460,7/11/2021 20:00,0,0.12,78307.81995,3462.49996,0,1.152,2351.15888,0.71220679,0.736730535,0.110215837,6,0,2,2,2,0,20
