,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,New_EI_GCO,New_EI_MEF,New_EI_AEF,New_EI_L,RECs,Ratio
0,QLD1,2021,3.308793174,18235559.84,60,0,5070.53954,37.60415633,36.90464301,39.59447937,41.73665712,0,-73039149.97,0,59307.78977,0,0,14180.93665,49034.01562,14442.32074,3239700.665,1277500,0,0,0,0,24,,1.129253944,1.108247538,1.189023405,1.253353067,1.394140672,0
1,QLD1,2021,3.245711363,21824295.67,60,0.094140901,5070.53954,33.52751205,33.05478559,35.39056038,37.32373634,844478.0312,-66161016.62,-7.84E-11,52878.26746,1632.754969,1179.296493,14180.93665,47740.22098,13874.12455,2633643.186,1277500,0,0,0.1,0,24,,1.006832194,0.992636204,1.062779591,1.120832923,1.243002708,0.198298006
2,QLD1,2021,3.183983174,25396032.74,60,0.187821389,5070.53954,29.44683235,29.19370842,31.18235758,32.91084364,1723022.091,-59316998.46,-1.57E-10,46442.38066,3265.509938,2358.592986,14180.93665,45631.01798,13289.16294,2032143.631,1277500,0,0,0.2,0,24,,0.88428926,0.87668794,0.936407135,0.988313623,1.091715136,0.396596012
3,QLD1,2021,3.123006215,28979907.51,60,0.281200163,5070.53954,25.36329974,25.31041956,26.97888028,28.4977695,2624128.296,-52495224.92,-2.25E-10,40001.99434,4898.264907,3537.889479,14180.93665,44749.07824,12642.68017,1430659.28,1277500,0,0,0.3,0,24,,0.761660653,0.76007266,0.810176585,0.855788874,0.940321794,0.594894018
4,QLD1,2021,3.062775393,32558635.71,60,0.374334731,5070.53954,21.27739092,21.4737544,22.76922677,24.08450003,3543692.409,-45691567.47,-3.14E-10,33557.86037,6531.019876,4717.185972,14180.93665,43802.83695,11970.31998,831195.0546,1277500,0,0,0.4,0,24,,0.638960688,0.64485749,0.683760564,0.723258259,0.788840356,0.793192024
5,QLD1,2021,3.003367343,36118906.67,60,0.467312409,5070.53954,17.19072326,17.65159976,18.56135887,19.67190499,4474720.196,-38900553.93,-4.09E-10,27112.52959,8163.774845,5896.482465,14180.93665,42281.69866,11244.38193,235448.2914,1277500,0,0,0.5,0,24,,0.516237936,0.530078071,0.557398164,0.590747898,0.637330785,0.99149003
6,QLD1,2021,2.947310784,39754323.89,60,0.559694893,5070.53954,13.09977545,13.82428295,14.33970306,15.26023465,5448644.232,-32154054.87,-4.51E-10,20660.44832,9796.529814,7075.778958,14180.93665,41295.53539,10942.30592,-362677.877,1277500,0,0,0.6,0,24,,0.39338665,0.415143632,0.430621714,0.458265305,0.485662531,1.189788036
7,QLD1,2021,2.90178452,43443593.96,60,0.647107134,5070.53954,9.032798049,10.1437001,10.17920946,10.90927962,6680394.159,-25771633.49,-103187.7149,14246.17223,11429.28478,8255.075451,14180.93665,39732.42961,11053.40178,-947036.8613,1277500,0,0,0.7,0,24,,0.271255197,0.304615619,0.305681966,0.327605994,0.334882959,1.388086043
8,QLD1,2021,2.875307221,47351493.98,60,0.72681979,5070.53954,5.075054795,6.579645106,6.183599709,6.717285192,8197267.723,-19952516.81,-479117.6862,8004.175926,13062.03975,9434.371944,14180.93665,38903.96108,12491.31229,-1520619.646,1277500,0,0,0.8,0,24,,0.152404048,0.19758694,0.185693685,0.201720276,0.188153146,1.586384049
9,QLD1,2021,2.865578825,51340747.44,60,0.793369189,5070.53954,1.154236295,3.129925875,2.335954453,2.66176581,10435921.97,-15094012.14,-1091896.559,1820.415885,14694.79472,10613.66844,14180.93665,42841.69876,13911.04362,-2071803.689,1277500,0,0,0.9,0,24,,0.034661751,0.093991768,0.070148782,0.079932907,0.042792285,1.784682055
