,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_MEF,EI_MeanEI,EI_GCO,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,Ratio
0,QLD1,2021,3.378317346,18733148.4,60,0,5078.956379,37.49658002,40.20845958,38.185344,42.38171429,0,-74168000,0,60224.416,0,0,14603,50299.11663,14603,3290520.453,1277500,0,0,0,0,24,-1,0
1,QLD1,2021,3.30486037,22390271.32,60,0.093443865,5078.956379,33.58166517,35.93643863,34.04065177,37.90183586,909242.6297,-67237455.39,-8.55E-11,53687.57115,1651.9,1208.2,14603,48545.07213,14139.37872,2655664.106,1277500,0,0,0.1,0,24,-1,0.195857016
2,QLD1,2021,3.23216861,26040229.9,60,0.186452264,5078.956379,29.67453657,31.67075417,29.89210959,33.42195744,1850782.987,-60339208.51,-1.71E-10,47144.65433,3303.8,2416.4,14603,46993.57792,13606.45831,2023099.385,1277500,0,0,0.2,0,24,-1,0.391714031
3,QLD1,2021,3.160305583,29695447.17,60,0.279035979,5078.956379,25.72739667,27.40323843,25.73981282,28.94207902,2823821.251,-53472459.54,-2.67E-10,40595.8159,4955.7,3624.6,14603,46143.33513,13027.56742,1391499.198,1277500,0,0,0.3,0,24,-1,0.587571047
4,QLD1,2021,3.089297991,33337193.45,60,0.371284944,5078.956379,21.86262761,23.13304451,21.58455654,24.4622006,3821687.251,-46630538.3,-3.42E-10,34042.30985,6607.6,4832.8,14603,45055.47746,12388.83972,763097.4586,1277500,0,0,0.4,0,24,-1,0.783428063
5,QLD1,2021,3.019173081,36964514.5,60,0.463369356,5078.956379,17.96655898,18.85510771,17.42784547,19.98232218,4831757.75,-39800821.57,-4.48E-10,27486.50936,8259.5,6041,14603,43456.56382,11715.27345,138057.2554,1277500,0,0,0.5,0,24,-1,0.979285078
6,QLD1,2021,2.95338772,40707978.29,60,0.554319943,5078.956379,14.10215591,14.56581583,13.2611103,15.50244376,5925921.876,-33055198.46,-5.33E-10,20914.89927,9911.4,7249.2,14603,42649.11317,11700.83943,-492260.0667,1277500,0,0,0.6,0,24,-1,1.175142094
7,QLD1,2021,2.899722812,44473160.69,60,0.640875546,5078.956379,10.36180568,10.34127097,9.123208005,11.0835687,7239297.259,-26635542.49,-106755.8858,14388.76324,11563.3,8457.4,14603,40494.81146,11979.97958,-1102037.885,1277500,0,0,0.7,0,24,-1,1.37099911
8,QLD1,2021,2.862653133,48340020.36,60,0.720762149,5078.956379,6.716948861,6.262917483,5.090758998,6.812868806,8787992.541,-20710512.95,-472818.3027,8028.943976,13215.2,9665.6,14603,39271.85373,12808.98903,-1692078.378,1277500,0,0,0.8,0,24,-1,1.566856125
9,QLD1,2021,2.841391666,52381125.78,60,0.787499597,5078.956379,3.180913328,2.335812858,1.092945511,2.678152975,11073962.22,-15760729.92,-1076852.836,1723.750482,14867.1,10873.8,14603,42996.18967,14198.49234,-2272338.041,1277500,0,0,0.9,0,24,-1,1.762713141
10,QLD1,2021,2.839198932,56627777.05,60,0.841986006,5078.956379,-0.176101459,-1.452686545,-2.856694511,-1.315533899,14021766.25,-11719581.93,-1927688.042,-4505.465725,16519,12082,14603,56708.59296,15776.10259,-2840258.819,1277500,0,0,1,0,24,-1,1.958570157
11,QLD1,2021,2.868492972,60740103.68,60,0.872149283,5078.956379,-3.345710953,-5.037531426,-6.750035424,-5.064681134,18345624,-9482432.011,-3206467.616,-10645.8892,18170.9,13290.2,14603,62814.84432,17353.71285,-3332588.725,1277500,0,0,1.1,0,24,-1,2.154427172
12,QLD1,2021,2.905177368,64856647.51,60,0.89727034,5078.956379,-6.424972367,-8.55233648,-10.59562603,-8.730618931,22897836.57,-7619253.439,-4630863.708,-16711.00278,19822.8,14498.4,14603,69159.89504,18931.32311,-3811342.82,1277500,0,0,1.2,0,24,-1,2.350284188
13,QLD1,2021,2.947636892,68928192.34,60,0.917159529,5078.956379,-9.460768606,-11.99338325,-14.39877563,-12.31662115,27698199.05,-6144112.04,-6195147.061,-22709.18008,21474.7,15706.6,14603,72956.87133,20508.93337,-4273859.119,1277500,0,0,1.3,0,24,-1,2.546141204
14,QLD1,2021,2.995238658,72983078.34,60,0.933725459,5078.956379,-12.44513462,-15.35839183,-18.14112251,-15.82134692,32602807.24,-4915450.128,-7901664.195,-28611.46174,23126.6,16914.8,14603,75810.53904,22086.54363,-4724645.571,1277500,0,0,1.4,0,24,-1,2.74199822
15,NSW1,2021,3.494872548,17738075.46,60,0,5019.830795,38.21844482,39.75197823,38.185344,39.47885714,0,-74168000,0,60224.416,0,0,14775,54838.64419,14775,3618779.018,1277500,0,0,0,0,24,-1,0
16,NSW1,2021,3.417372093,20602020.55,60,0.098423963,5019.830795,34.33988123,35.42398078,33.98346669,35.22085008,699509.2325,-66868091.54,0,53597.3811,1983.4,0,14775,54132.63594,14636.26763,3082327.96,1277500,0,0,0.1,0,24,-1,0.134240271
17,NSW1,2021,3.341267171,23423326.16,60,0.196543654,5019.830795,30.32242221,31.08760906,29.77889933,30.96284301,1421585.649,-59590750.27,0,46966.10357,3966.8,0,14775,51115.37909,14470.72895,2553503.228,1277500,0,0,0.2,0,24,-1,0.268480541
18,NSW1,2021,3.266780795,26266526.99,60,0.293614563,5019.830795,26.41071391,26.76116573,25.56505975,26.70483594,2221448.157,-52391195.09,0,40320.20226,5950.2,0,14775,49445.91238,14277.14969,2025207.3,1277500,0,0,0.3,0,24,-1,0.402720812
19,NSW1,2021,3.193919406,29081373.5,60,0.389702205,5019.830795,22.37448174,22.4389165,21.34252716,22.44682887,3094237.589,-45264566.84,0,33660.59068,7933.6,0,14775,46315.00511,14046.1399,1503309.412,1277500,0,0,0.4,0,24,-1,0.536961083
20,NSW1,2021,3.122932304,31878712.01,60,0.485235442,5019.830795,18.35965639,18.09224856,17.11509311,18.18882181,4008146.215,-38179057.77,0,26993.2487,9917,0,14775,42316.55065,13782.96654,987019.8767,1277500,0,0,0.5,0,24,-1,0.671201354
21,NSW1,2021,3.054427665,34693910.27,60,0.579564756,5019.830795,14.40864342,13.7671293,12.87701525,13.93081474,5011347.337,-31182841.21,0,20309.11972,11900.4,0,14775,39879.65479,13376.89069,473373.9531,1277500,0,0,0.6,0,24,-1,0.805441624
22,NSW1,2021,2.98967813,37552870.67,60,0.671466196,5019.830795,10.46605887,9.428535225,8.617472691,9.672807674,6194619.012,-24366695.19,0,13591.13749,13883.8,0,14775,37543.18687,13588.29395,-38225.04213,1277500,0,0,0.7,0,24,-1,0.939681895
23,NSW1,2021,2.94214257,40496731.51,60,0.754973773,5019.830795,6.571693564,5.159285313,4.344544263,5.465862547,7904517.869,-18173105.23,-95928.86556,6852.043576,15867.2,0,14775,35744.90498,14908.46307,-526953.4763,1277500,0,0,0.8,0,24,-1,1.073922166
24,NSW1,2021,2.928162063,43540104.59,60,0.815007587,5019.830795,3.07562815,1.133904169,0.107153554,1.462974408,10972061.66,-13720517.26,-575214.7926,168.9983521,17850.6,0,14775,37489.19402,16772.02095,-963409.6352,1277500,0,0,0.9,0,24,-1,1.208162437
25,NSW1,2021,2.934915335,46592678.08,60,0.859132839,5019.830795,-0.373356684,-2.801769838,-4.134132443,-2.425110097,15003832.85,-10447835.57,-1270179.606,-6520.190366,19834,0,14775,39754.45751,18635.57883,-1361471.942,1277500,0,0,1,0,24,-1,1.342402707
26,NSW1,2021,2.957733306,49681536.92,60,0.889597272,5019.830795,-3.71582654,-6.672258965,-8.401764805,-6.233921595,19899871.33,-8188349.509,-2114072.751,-13250.93153,21817.4,0,14775,43985.31329,20522.26889,-1733184.838,1277500,246.8628767,0,1.1,0,24,-1,1.476642978
27,NSW1,2021,2.993226177,52818756.3,60,0.908391427,5019.830795,-6.901523452,-10.5372076,-12.71453192,-9.994006895,25569930.26,-6794424.663,-3049506.661,-20052.85744,23800.8,0,14775,49942.39504,22671.83241,-2086408.177,1277500,702.1260708,0,1.2,0,24,-1,1.610883249
28,NSW1,2021,3.036886246,55933550.27,60,0.92258253,5019.830795,-10.06471583,-14.36339076,-17.01910201,-13.71304678,31504277.26,-5741898.928,-4062051.618,-26841.85533,25784.2,0,14775,55433.02085,24612.75176,-2421471.602,1277500,766.0605525,0,1.3,0,24,-1,1.745123519
