,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,2021,5.106955912600414,83462766.8268114,60,1.0000000000000004,4294.836637395374,-0.0,0.0,0.0,-0.0,0.0,0.0,-13966936.115742197,-0.0,16159.929963335098,26073.1478459886,20664.654276474987,16722.014593931446,0,0.0,1576800.0,1835.943671487456,0,0,0,1
1,QLD1,2021,5.0772524433031965,83043369.2954916,60,1.0,4341.411135502527,-0.0,0.0,0.0,-0.0,0.0,0.0,-13043405.635018373,-0.0,16051.369112856351,25780.826174058613,20442.96462961936,17309.78765671737,0,0.0,1576799.9999999977,981.0149020683555,0,0,0,24
2,QLD1,2021,4.8993827115809,63771696.64105599,60,1.0,4056.947545636441,-0.0,0.0,0.0,-0.0,0.0,0.0,-10670518.76466676,-0.0,12105.396903454375,22508.522643728353,17723.916612463476,3830.6332343362737,0,0.0,1277499.999999958,0.0,0,0,0,720
3,QLD1,2021,4.029591582161872,63972419.3960907,60,1.0,4868.675922200756,-0.0,0.0,0.0,-0.0,0.0,0.0,-3941007.354697284,-0.0,20925.169472392674,12537.549124605954,18229.045371662847,0.0,0,0.0,1576799.9999999735,0.0,0,0,0,8760
4,TAS1,2021,4.333968449247131,70417759.46026973,60,1.0,4715.036627185428,-0.0,0.0,0.0,-0.0,0.0,0.0,-19734030.18606288,-0.0,21607.015349745117,7877.06784423431,18823.03814439224,19480.20611938412,0,0.0,1576800.0,1846.3541809419821,0,0,0,1
5,TAS1,2021,4.315381964129278,70292257.49633726,60,1.0,4948.198008986476,-0.0,0.0,0.0,-0.0,0.0,0.0,-18825287.24292528,-0.0,20588.882779788415,10449.552075543237,17936.087869671894,18344.796859676,0,0.0,1576799.9999999697,1595.2511734069521,0,0,0,24
6,TAS1,2021,4.032933685851298,51714222.26641817,60,1.0,4183.32655177873,-0.0,0.0,0.0,-0.0,0.0,0.0,-16873050.31184299,-0.0,19730.694929193523,0.0,17188.47407918175,9042.556786733843,0,0.0,1277500.0000000563,0.0,0,0,0,720
7,TAS1,2021,3.0575175244163084,47164358.10546851,60,1.0,5150.710434177999,-0.0,0.0,0.0,-0.0,0.0,0.0,-1.5646416750299972e-10,-0.0,19779.381908597243,0.0,17230.88793670059,0.0,0,0.0,1576800.0000001076,0.0,0,0,0,8760
8,SA1,2021,4.3892975614917535,72329384.98940907,60,0.9999999999999989,5491.607268961464,-0.0,0.0,0.0,-0.0,0.0,0.0,-15244531.64473086,-0.0,18551.557638510993,15297.335230737757,16161.263895788497,21159.848420581347,0,0.0,1576800.0,704.3728443699285,0,0,0,1
9,SA1,2021,4.379733585216779,72067449.0679136,60,0.9999999999999999,5522.752976215873,-0.0,0.0,0.0,-0.0,0.0,0.0,-16431538.364644438,-0.0,18446.935652735538,16145.352194014466,16070.122032966769,19290.601891061655,0,0.0,1576799.9999999644,1528.449621010024,0,0,0,24
10,SA1,2021,3.9600167093531,51394395.114332944,60,1.0,5056.103468082353,-0.0,0.0,0.0,-0.0,0.0,0.0,-10003441.950599052,-0.0,16324.812279533664,8374.402390913338,14221.425738994065,5941.06670508991,0,0.0,1277500.000000005,0.0,0,0,0,720
11,SA1,2021,3.383542674669711,52319991.4964021,60,1.0,4643.157318399709,-0.0,0.0,0.0,-0.0,0.0,0.0,3.353544525042647e-10,-0.0,21941.506994492724,0.0,19114.43188323822,0.0,0,0.0,1576799.9999999525,0.0,0,0,0,8760
