,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-481.76729949198943,13080.828843475902,0.06065464545454545,0.0,0.0,481.76729949198943,2021-01-01 00:00:00
1,0.0,0.0,0.0,0.0,0.0,0.0,-2848.0792295324973,0.0,0.0,2848.0792295324973,0.0,-2806.691219418734,2806.691219418734,-49.86507242622116,41.38801011376356,0.0,0.0,13080.828843475902,0.06574730833333334,0.0,0.0,49.86507242622116,2021-01-01 01:00:00
2,0.0,0.0,0.0,0.0,0.0,0.0,-2558.2436772057326,0.0,0.0,2558.2436772057326,0.0,-2521.0675291239804,2521.0675291239804,-44.79053985753265,37.176148081752096,0.0,0.0,13080.828843475902,0.06624202583333333,0.0,0.0,44.79053985753265,2021-01-01 02:00:00
3,0.0,0.0,0.0,0.0,0.0,0.0,-3576.226206649218,0.0,0.0,3576.226206649218,0.0,-3524.2568355463645,3524.2568355463645,-62.61370012392018,51.96937110285375,0.0,0.0,13080.828843475902,0.07242161916666667,0.0,0.0,62.61370012392018,2021-01-01 03:00:00
4,0.0,0.0,0.0,0.0,0.0,0.0,-2786.945918670216,0.0,0.0,2786.945918670216,0.0,-2746.4462918788054,2746.4462918788054,-48.79473107398893,40.499626791410805,0.0,0.0,13080.828843475902,0.06098,0.0,0.0,48.79473107398893,2021-01-01 04:00:00
5,0.0,0.0,0.0,0.0,0.0,-0.0,-3017.0747673873125,0.0,0.0,3017.0747673873125,0.0,-2973.2309305685226,2973.2309305685226,-52.823899781674264,43.84383681878964,0.0,0.0,13080.828843475902,0.05080506333333333,0.0,0.0,52.823899781674264,2021-01-01 05:00:00
6,0.0,0.0,0.0,0.0,0.0,-0.0,-1559.1372799326125,0.0,0.0,1559.1372799326125,0.0,-1536.480048756783,1536.480048756783,-27.297868886541828,22.657231175829715,0.0,0.0,13080.828843475902,0.05467333333333334,0.0,0.0,27.297868886541828,2021-01-01 06:00:00
7,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13080.828843475902,0.03566999999999999,0.0,0.0,0.0,2021-01-01 07:00:00
8,-9439.936935684389,0.0,9439.936935684389,-9439.936935684389,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-9302.756691077386,9302.756691077386,-165.27740314096877,137.18024460700408,0.0,0.0,13080.828843475902,0.03436,0.0,0.0,165.27740314096877,2021-01-01 08:00:00
9,-5973.226187115795,0.0,5973.226187115795,-5973.226187115795,0.0,-0.0,-5112.28613641638,0.0,0.0,5112.28613641638,0.0,-10924.418737579543,10924.418737579543,-194.08865777425584,161.09358595263234,0.0,0.0,13080.828843475902,0.034341666666666666,0.0,0.0,194.08865777425584,2021-01-01 09:00:00
10,-3586.263171439279,0.0,3586.263171439279,-3586.263171439279,0.0,-0.0,-7499.249152092896,0.0,0.0,7499.249152092896,0.0,-10924.418737579543,10924.418737579543,-194.08865777425584,161.09358595263234,0.0,0.0,13080.828843475902,0.03434333333333334,0.0,0.0,194.08865777425584,2021-01-01 10:00:00
11,1154.4645096724216,-1154.4645096724216,0.0,0.0,1154.4645096724216,-0.0,-12239.976833204597,0.0,0.0,12239.976833204597,0.0,-10924.418737579543,10924.418737579543,-194.08865777425584,161.09358595263234,0.0,0.0,13080.828843475902,0.034341666666666666,0.0,0.0,194.08865777425584,2021-01-01 11:00:00
12,0.0,0.0,0.0,0.0,0.0,-0.0,-7571.613103162427,0.0,0.0,7571.613103162427,0.0,-7461.583158615333,7461.583158615333,-132.566198249511,110.02994454709412,0.0,0.0,13080.828843475902,0.03624083333333333,0.0,0.0,132.566198249511,2021-01-01 12:00:00
